Release Height (m),Radionuclide,Distance (m),Stability Category,Dose
20,Kr-85,25,6,3.757499201284212e-11
20,Sr-85,25,1,8.257679544530114e-09
20,Sr-85,25,2,8.329041499093547e-09
20,Sr-85,25,3,8.350502660900152e-09
20,Sr-85,25,4,8.397747818622277e-09
20,Sr-85,25,5,8.439454773117371e-09
20,Sr-85,25,6,8.508458874946719e-09
20,Ru-103,25,1,8.137802160793235e-09
20,Ru-103,25,2,8.20837837793762e-09
20,Ru-103,25,3,8.230014091984229e-09
20,Ru-103,25,4,8.275753840528485e-09
20,Ru-103,25,5,8.316972265699181e-09
20,Ru-103,25,6,8.385510377684271e-09
20,Ru-106,25,1,3.06225987615353e-09
20,Ru-106,25,2,3.088318803798821e-09
20,Ru-106,25,3,3.095945888433981e-09
20,Ru-106,25,4,3.113021202756905e-09
20,Ru-106,25,5,3.1282040843215687e-09
20,Ru-106,25,6,3.153873045676464e-09
20,Na-22,25,1,3.124312483517239e-08
20,Na-22,25,2,3.1500016784388345e-08
20,Na-22,25,3,3.156810847504886e-08
20,Na-22,25,4,3.174175301740536e-08
20,Na-22,25,5,3.189789937570954e-08
20,Na-22,25,6,3.215749790717865e-08
20,Eu-152,25,1,1.4999505002003378e-08
20,Eu-152,25,2,1.512550210497665e-08
20,Eu-152,25,3,1.5159963926979632e-08
20,Eu-152,25,4,1.524189426315315e-08
20,Eu-152,25,5,1.5316283379678866e-08
20,Eu-152,25,6,1.544205373607172e-08
20,Eu-154,25,1,1.6376654479485222e-08
20,Eu-154,25,2,1.6513025418319144e-08
20,Eu-154,25,3,1.6549719534782426e-08
20,Eu-154,25,4,1.6639254917620682e-08
20,Eu-154,25,5,1.672056952855716e-08
20,Eu-154,25,6,1.6857055113703854e-08
20,Eu-155,25,1,1.267429938467365e-09
20,Eu-155,25,2,1.281781671084243e-09
20,Eu-155,25,3,1.2884342538118195e-09
20,Eu-155,25,4,1.296980303373785e-09
20,Eu-155,25,5,1.303200922352197e-09
20,Eu-155,25,6,1.313806397742271e-09
20,Cs-137,50,1,1.0744699839816713e-08
20,Cs-137,50,2,1.0778184445226029e-08
20,Cs-137,50,3,1.0639047166289886e-08
20,Cs-137,50,4,1.0687148489775928e-08
20,Cs-137,50,5,1.0796283522273652e-08
20,Cs-137,50,6,1.0873843199078474e-08
20,Cs-134,50,1,2.8372211899618452e-08
20,Cs-134,50,2,2.850526221906456e-08
20,Cs-134,50,3,2.8185586283949143e-08
20,Cs-134,50,4,2.8333096772218392e-08
20,Cs-134,50,5,2.8631903482368508e-08
20,Cs-134,50,6,2.8834528656577385e-08
20,Ar-41,50,1,2.0103379641566706e-08
20,Ar-41,50,2,2.026974230939432e-08
20,Ar-41,50,3,1.9986821998622624e-08
20,Ar-41,50,4,2.006318067450647e-08
20,Ar-41,50,5,2.0274684004301253e-08
20,Ar-41,50,6,2.0416066717571866e-08
20,Xe-135,50,1,5.456031139395224e-09
20,Xe-135,50,2,5.539215330075922e-09
20,Xe-135,50,3,5.509444639637087e-09
20,Xe-135,50,4,5.551000008987683e-09
20,Xe-135,50,5,5.6084576809116145e-09
20,Xe-135,50,6,5.648705160624799e-09
20,Co-60,50,1,4.0035403247579545e-08
20,Co-60,50,2,4.0085940180170585e-08
20,Co-60,50,3,3.9473916744123314e-08
20,Co-60,50,4,3.9623935200176345e-08
20,Co-60,50,5,4.004271942545027e-08
20,Co-60,50,6,4.032162956084096e-08
20,I-131,50,1,8.109498205067796e-09
20,I-131,50,2,8.18561308773068e-09
20,I-131,50,3,8.111507025549212e-09
20,I-131,50,4,8.161817930028346e-09
20,I-131,50,5,8.246805968336691e-09
20,I-131,50,6,8.30525635420216e-09
20,I-132,50,1,3.9876224295183965e-08
20,I-132,50,2,4.021844751441528e-08
20,I-132,50,3,3.9756808732645954e-08
20,I-132,50,4,3.995468911322988e-08
20,I-132,50,5,4.0373766210855776e-08
20,I-132,50,6,4.06535026133116e-08
20,Kr-87,50,1,1.2212414911148357e-08
20,Kr-87,50,2,1.2324513038396648e-08
20,Kr-87,50,3,1.2174721944360315e-08
20,Kr-87,50,4,1.2230213481940824e-08
20,Kr-87,50,5,1.2359429771671405e-08
20,Kr-87,50,6,1.2444243009994976e-08
20,Kr-88,50,1,2.7001843066008012e-08
20,Kr-88,50,2,2.686191971481596e-08
20,Kr-88,50,3,2.6382069178844465e-08
20,Kr-88,50,4,2.6462393599868924e-08
20,Kr-88,50,5,2.6746104496216835e-08
20,Kr-88,50,6,2.6925428483053277e-08
20,Kr-85,50,1,4.5349787510182936e-11
20,Kr-85,50,2,4.556894324248365e-11
20,Kr-85,50,3,4.5096970164328825e-11
20,Kr-85,50,4,4.5352229027732747e-11
20,Kr-85,50,5,4.582781921718804e-11
20,Kr-85,50,6,4.615082331115173e-11
20,Sr-85,50,1,1.0269001908392993e-08
20,Sr-85,50,2,1.0318608457325333e-08
20,Sr-85,50,3,1.0211730831346722e-08
20,Sr-85,50,4,1.026953084836099e-08
20,Sr-85,50,5,1.03772232059388e-08
20,Sr-85,50,6,1.0450364016883791e-08
20,Ru-103,50,1,1.0088792807179332e-08
20,Ru-103,50,2,1.016410575019864e-08
20,Ru-103,50,3,1.0064686215503309e-08
20,Ru-103,50,4,1.0122291358645638e-08
20,Ru-103,50,5,1.0228410903169289e-08
20,Ru-103,50,6,1.0300525131566628e-08
20,Ru-106,50,1,3.827255256396529e-09
20,Ru-106,50,2,3.8296150005402514e-09
20,Ru-106,50,3,3.783494056505059e-09
20,Ru-106,50,4,3.803448864434694e-09
20,Ru-106,50,5,3.843371356589563e-09
20,Ru-106,50,6,3.870463389613396e-09
20,Na-22,50,1,3.8793743673478666e-08
20,Na-22,50,2,3.9024380781500895e-08
20,Na-22,50,3,3.8533460821065014e-08
20,Na-22,50,4,3.8717262948862003e-08
20,Na-22,50,5,3.912410148221204e-08
20,Na-22,50,6,3.939678771378209e-08
20,Eu-152,50,1,1.862511841255528e-08
20,Eu-152,50,2,1.870631019198301e-08
20,Eu-152,50,3,1.8491454782388768e-08
20,Eu-152,50,4,1.8586287401994065e-08
20,Eu-152,50,5,1.8783141830757122e-08
20,Eu-152,50,6,1.8914710271335323e-08
20,Eu-154,50,1,2.029448270104526e-08
20,Eu-154,50,2,2.0430662203732e-08
20,Eu-154,50,3,2.0184236849433147e-08
20,Eu-154,50,4,2.0283182709177225e-08
20,Eu-154,50,5,2.0497278218484943e-08
20,Eu-154,50,6,2.0641194899360345e-08
20,Eu-155,50,1,1.549057328896694e-09
20,Eu-155,50,2,1.578356170912884e-09
20,Eu-155,50,3,1.5779452202327175e-09
20,Eu-155,50,4,1.5933050128142143e-09
20,Eu-155,50,5,1.6099026375303811e-09
20,Eu-155,50,6,1.6214089126191723e-09
20,Cs-137,100,1,9.957281259565256e-09
20,Cs-137,100,2,1.1076457474845085e-08
20,Cs-137,100,3,1.1464677538697238e-08
20,Cs-137,100,4,1.1533319065449556e-08
20,Cs-137,100,5,1.1818200193177971e-08
20,Cs-137,100,6,1.1941290272729816e-08
20,Cs-134,100,1,2.7480858144178468e-08
20,Cs-134,100,2,3.033827852062314e-08
20,Cs-134,100,3,3.071782393007653e-08
20,Cs-134,100,4,3.0563209854933056e-08
20,Cs-134,100,5,3.1309637556076654e-08
20,Cs-134,100,6,3.1632562747269243e-08
20,Ar-41,100,1,1.9091163230603728e-08
20,Ar-41,100,2,2.1098394989914264e-08
20,Ar-41,100,3,2.1636838368027737e-08
20,Ar-41,100,4,2.1596415784870586e-08
20,Ar-41,100,5,2.2129652021748228e-08
20,Ar-41,100,6,2.235935902150074e-08
20,Xe-135,100,1,5.2299109928969894e-09
20,Xe-135,100,2,5.7720407521214164e-09
20,Xe-135,100,3,5.983004460425977e-09
20,Xe-135,100,4,5.9845876282973685e-09
20,Xe-135,100,5,6.135413449571915e-09
20,Xe-135,100,6,6.203609432947595e-09
20,Co-60,100,1,3.736726660529328e-08
20,Co-60,100,2,4.1336936190837424e-08
20,Co-60,100,3,4.248277563833248e-08
20,Co-60,100,4,4.2516300961426584e-08
20,Co-60,100,5,4.358360209515975e-08
20,Co-60,100,6,4.403722304412428e-08
20,I-131,100,1,8.095097858241207e-09
20,I-131,100,2,8.891277422207122e-09
